"","state","date","cumul_partial","cumul_full","total","pop","perc_vax1","perc_vax2","perc_reg","perc_pop","diff_vax2","diff_vax1","diff_reg","diff_pop"
"3072","Sabah","2021-09-12",1871010,1430887,1683825,3908500,0.478702827171549,0.366096200588461,0.430811052833568,1,0.366096200588461,0.112606626583088,-0.0478917743379813,0.569188947166432
"3073","Sabah","2021-09-13",1881716,1448848,1688148,3908500,0.4814419854164,0.370691569655878,0.431917103748241,1,0.370691569655878,0.110750415760522,-0.0495248816681592,0.568082896251759
"3074","Sabah","2021-09-14",1893341,1470370,1692591,3908500,0.484416272227197,0.376198029934758,0.43305385697838,1,0.376198029934758,0.10821824229244,-0.0513624152488167,0.56694614302162
"3075","Sabah","2021-09-15",1904503,1488425,1697887,3908500,0.48727209927082,0.38081744914929,0.434408852500959,1,0.38081744914929,0.10645465012153,-0.0528632467698605,0.56559114749904
"3076","Sabah","2021-09-16",1931386,1507442,1708801,3908500,0.494150185493156,0.385682998592811,0.437201228092619,1,0.385682998592811,0.108467186900345,-0.0569489574005373,0.562798771907381
"3077","Sabah","2021-09-17",1971036,1527699,1720567,3908500,0.504294742228476,0.390865805296149,0.440211590124089,1,0.390865805296149,0.113428936932327,-0.0640831521043879,0.559788409875911
"3078","Sabah","2021-09-18",2010193,1546476,1731606,3908500,0.514313163617756,0.395669950108737,0.443035947294358,1,0.395669950108737,0.118643213509019,-0.0712772163233977,0.556964052705642
"3079","Sabah","2021-09-19",2042697,1561171,1742869,3908500,0.522629397467059,0.399429704490214,0.445917615453499,1,0.399429704490214,0.123199692976845,-0.0767117820135602,0.554082384546501
"3080","Sabah","2021-09-20",2076739,1579077,1753498,3908500,0.531339132659588,0.404011001663042,0.448637073045926,1,0.404011001663042,0.127328130996546,-0.0827020596136626,0.551362926954075
"3081","Sabah","2021-09-21",2102409,1596202,1761726,3908500,0.537906869643086,0.408392477932711,0.450742228476398,1,0.408392477932711,0.129514391710375,-0.0871646411666879,0.549257771523602
"3082","Sabah","2021-09-22",2129021,1617001,1771179,3908500,0.544715619802993,0.413713956760906,0.453160803377255,1,0.413713956760906,0.131001663042088,-0.0915548164257387,0.546839196622745
"3083","Sabah","2021-09-23",2156098,1636247,1780056,3908500,0.551643341435333,0.418638096456441,0.455432007163874,1,0.418638096456441,0.133005244978892,-0.0962113342714596,0.544567992836126
"3084","Sabah","2021-09-24",2178359,1651929,1787981,3908500,0.557338876806959,0.422650377382628,0.457459639247793,1,0.422650377382628,0.134688499424332,-0.0998792375591659,0.542540360752207
"3085","Sabah","2021-09-25",2199768,1667269,1795396,3908500,0.562816425738774,0.426575156709735,0.459356786490981,1,0.426575156709735,0.136241269029039,-0.103459639247793,0.540643213509019
"3086","Sabah","2021-09-26",2214658,1678640,1802176,3908500,0.566626071382883,0.429484456952795,0.461091467314827,1,0.429484456952795,0.137141614430088,-0.105534604068057,0.538908532685173
"3087","Sabah","2021-09-27",2230807,1691374,1808673,3908500,0.57075783548676,0.432742484329026,0.462753741844697,1,0.432742484329026,0.138015351157733,-0.108004093642062,0.537246258155303
"3088","Sabah","2021-09-28",2245519,1702656,1814456,3908500,0.574521939362927,0.435629013688116,0.464233337597544,1,0.435629013688116,0.138892925674811,-0.110288601765383,0.535766662402456
"3089","Sabah","2021-09-29",2257974,1714960,1819598,3908500,0.577708583855699,0.438777024433926,0.465548931815274,1,0.438777024433926,0.138931559421773,-0.112159652040425,0.534451068184726
"3090","Sabah","2021-09-30",2269135,1728786,1824656,3908500,0.580564155046693,0.442314442880901,0.466843034412179,1,0.442314442880901,0.138249712165793,-0.113721120634515,0.533156965587821
"3091","Sabah","2021-10-01",2278351,1742273,1829093,3908500,0.582922092874504,0.445765127286683,0.467978252526545,1,0.445765127286683,0.137156965587821,-0.11494384034796,0.532021747473455
"3092","Sabah","2021-10-02",2285602,1757966,1833108,3908500,0.584777280286555,0.449780222591787,0.469005500831521,1,0.449780222591787,0.134997057694768,-0.115771779455034,0.530994499168479
"3093","Sabah","2021-10-03",2291589,1772389,1836826,3908500,0.586309069975694,0.453470385058206,0.469956760905718,1,0.453470385058206,0.132838684917488,-0.116352309069976,0.530043239094282
"3094","Sabah","2021-10-04",2299468,1787107,1840706,3908500,0.588324932838685,0.457236024050147,0.470949469105795,1,0.457236024050147,0.131088908788538,-0.11737546373289,0.529050530894205
"3095","Sabah","2021-10-05",2307064,1803444,1844406,3908500,0.590268389407701,0.461415888448254,0.471896123832672,1,0.461415888448254,0.128852500959447,-0.118372265575029,0.528103876167328
"3096","Sabah","2021-10-06",2313639,1820762,1848534,3908500,0.591950620442625,0.465846744275297,0.472952283484713,1,0.465846744275297,0.126103876167328,-0.118998336957912,0.527047716515287
"3097","Sabah","2021-10-07",2320407,1847423,1852564,3908500,0.593682231034924,0.472668031214021,0.473983369579122,1,0.472668031214021,0.121014199820903,-0.119698861455801,0.526016630420878
