"","date","state","variant_count","variant","status"
"190",2021-05-02,"Sabah",0,"Theta P.3","voi"
"191",2021-05-02,"W.P. Labuan",0,"Beta B.1.351","voc"
"192",2021-05-02,"Malaysia",0,"Alpha B.1.1.7","voc"
"193",2021-05-02,"Malaysia",0,"Delta B.1.617.2","voc"
"194",2021-05-02,"Malaysia",0,"Eta B.1.525","voi"
"195",2021-05-02,"Malaysia",0,"Theta P.3","voi"
"196",2021-05-12,"Johor",0,"Beta B.1.351","voc"
"197",2021-05-12,"Selangor",0,"Alpha B.1.1.7","voc"
"198",2021-05-12,"Selangor",0,"Delta B.1.617.2","voc"
"199",2021-05-12,"Selangor",0,"Eta B.1.525","voi"
"200",2021-05-12,"Selangor",0,"Theta P.3","voi"
"201",2021-05-12,"Kedah",1,"Beta B.1.351","voc"
"202",2021-05-12,"Sarawak",0,"Alpha B.1.1.7","voc"
"203",2021-05-12,"Sarawak",0,"Delta B.1.617.2","voc"
"204",2021-05-12,"Sarawak",0,"Eta B.1.525","voi"
"205",2021-05-12,"Sarawak",0,"Theta P.3","voi"
"206",2021-05-12,"Kelantan",17,"Beta B.1.351","voc"
"207",2021-05-12,"Kelantan",0,"Alpha B.1.1.7","voc"
"208",2021-05-12,"Kelantan",0,"Delta B.1.617.2","voc"
"209",2021-05-12,"Kelantan",0,"Eta B.1.525","voi"
"210",2021-05-12,"Kelantan",0,"Theta P.3","voi"
"211",2021-05-12,"Malaysia",62,"Beta B.1.351","voc"
"212",2021-05-12,"W.P. Kuala Lumpur",0,"Alpha B.1.1.7","voc"
"213",2021-05-12,"W.P. Kuala Lumpur",0,"Delta B.1.617.2","voc"
"214",2021-05-12,"W.P. Kuala Lumpur",0,"Eta B.1.525","voi"
"215",2021-05-12,"W.P. Kuala Lumpur",0,"Theta P.3","voi"
"216",2021-05-12,"Negeri Sembilan",1,"Beta B.1.351","voc"
"217",2021-05-12,"Perak",0,"Alpha B.1.1.7","voc"
"218",2021-05-12,"Perak",0,"Delta B.1.617.2","voc"
